,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
0,Afghanistan,Asia - Southern,Asia,South Asia,1984,[1984],58.34444904,21.42734,20.60867,0.0,7.676,0.21889208300000002,-10.0,,,31.20000076,,,,,,,2983.713732,,,148.8,,,43.661,,,,,,,,,,2.31768067,12931791.0,19.831,,47.99,,,,,,,,,,16.6686,3.792672942,2830.666667,0.0,33.0,183.0,151.0,0.0,0.0,153.0,178.0,150.0,77.0,925.0,154.16666666666666
1,Albania,Europe - Southern,Europe,Europe & Central Asia,1984,[1984],40.62043796,25.27901,25.223589999999998,0.0,3.2969999999999997,2.7065568460000002,-9.0,1.022991667,17.41308265,80.5,,1065.235347,,,,19.37734691,11018.60262,,,43.9,-0.028354135,,71.14399999999999,,,,,1.4065999980000001,,,,,2.073296525,2891004.0,100.564,,97.87899999999999,,,,,,3079599649.0,,-1.9642642609999998,,34.8188,2.834975431,7824.666667,85.0,80.0,72.0,144.0,93.0,24.0,88.0,46.0,67.0,95.0,794.0,88.22222222222223
2,Algeria,Africa - Northern,Africa,Middle East & North Africa,1984,[1984],16.63069856,22.60633,24.1363,0.0,6.192,3.317148065,-9.0,0.7932072259999999,25.71001618,20.89999962,,2008.4721760000002,,,,27.46636749,17959.62611,,,67.9,8.433505552,,63.16,,,,,0.42710000299999995,,,,0.362057325,3.1773721760000004,21433070.0,8.999,,75.351,,95.60988739,,,,43047724737.0,,-1.75635131,,47.0828,5.075362694,71096.66667,39.0,129.0,138.0,144.0,71.0,48.0,67.0,109.0,175.0,134.0,1054.0,117.11111111111111
3,American Samoa,Oceania,Oceania,East Asia & Pacific,1984,[1984],20.0,,,0.0,,,,,,,,,,,,,19264.04838,,,,,,,,,,,0.772300005,,,,,4.0677244660000005,37706.0,189.477,,,,,,,,,,,,77.0756,4.96226781,,0.0,120.0,0.0,0.0,0.0,0.0,62.0,0.0,39.0,0.0,221.0,110.5
4,Andorra,Europe - Southern,Europe,Europe & Central Asia,1984,[1984],42.55319149,25.81874,25.70584,0.0,,,,,,,,14554.762840000001,,,,,77460.89591,,,,10.86473362,,,,,,,,,,,,4.625956288,45702.0,97.654,,,,,,,,665181771.4,,,,94.54,5.2828584869999995,,120.0,74.0,0.0,0.0,0.0,0.0,5.0,0.0,71.0,0.0,270.0,90.0
5,Angola,Africa - Central,Africa,Sub-Saharan Africa,1984,[1984],46.04154969,20.93569,20.3411,0.0,7.207000000000001,0.570031301,-7.0,0.535443989,,78.09999847,,,,,,,7582.403742,,,129.9,,,40.671,,,,,0.0594,,,,,3.414665564,8786652.0,7.047999999999999,,,,47.18808042,,,,,,,,29.13,7.650031804,5008.666667,0.0,64.0,177.0,122.0,0.0,0.0,114.0,183.0,181.0,87.0,928.0,154.66666666666666
6,Anguilla,America - Central,Central and South America,America,1984,[1984],,,,,,,,,,,,,,,,,24790.94136,,,,,,,95.40709812,99.11373708,,,,,,,,,6551.0,71.98899999999999,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,92.0,0.0,143.0,71.5
7,Antigua and Barbuda,America - Central,Central and South America,America,1984,[1984],29.54545455,23.635839999999998,24.70423,0.0,2.0980000000000003,2.1988675840000003,,,74.74385246,,,5850.656114,,,,85.00469945,21072.334219999997,,,,3.1454827219999997,,69.931,,,,,,,,,,-1.622424857,66701.0,150.907,,,,,,,,390244613.4,,-10.26084699,,34.9404,-1.391479857,146.66666669999998,126.0,102.0,35.0,0.0,5.0,125.0,58.0,64.0,49.0,21.0,585.0,73.125
8,Argentina,America - South,Central and South America,America,1984,[1984],46.96074455,25.61271,24.27477,0.0,3.123,3.562338312,8.0,1.4491488769999998,7.589895312,33.09999847,,6751.820111,,,,4.756486117,27904.65708,,,30.1,606.7359412000001,,70.439,,,,,2.683300018,5.018478,8.126039,1.9718490000000002,0.704119765,1.522480584,29899743.0,10.754000000000001,,102.69200000000001,,316.8361995,4.576219,,,202000000000.0,,2.8334091939999997,11.574860000000001,84.6078,2.032241418,106513.0,14.0,61.0,69.0,34.0,123.0,1.0,41.0,59.0,167.0,141.0,710.0,78.88888888888889
9,Armenia,Asia - Western,Asia,Europe & Central Asia,1984,[1984],,24.00181,26.01453,0.0,2.441,,-7.0,,,88.80000305,,,,,,,8626.164485,,,52.9,,,70.149,,,,,3.50090003,,,,,1.4824074859999998,3287588.0,110.322,,,,,,,,,,,,66.882,1.793887566,,0.0,0.0,54.0,122.0,0.0,0.0,105.0,62.0,61.0,0.0,404.0,101.0
10,Aruba,America - Central,Central and South America,America,1984,[1984],11.11111111,,,0.0,2.342,,,,,,,,,,,,37769.1644,,,,,,73.071,,,,,,,,,,0.999680433,62833.0,349.07199999999995,,,,,,,,,,,,50.4104,0.9691358459999999,,0.0,141.0,52.0,0.0,0.0,0.0,29.0,34.0,16.0,0.0,272.0,68.0
11,Australia,Oceania,Oceania,East Asia & Pacific,1984,[1984],61.57517931,25.228939999999998,24.11415,0.0,1.84,15.19620007,10.0,4.651519236,13.55258234,55.29999924,,15027.66949,,,9.800000191,14.92303121,60885.75881,,,9.6,7.837041813,,76.02,,,2.799999952,,1.8,2.0061139999999997,2.458567,1.5255530000000002,1.830879603,1.132221774,15567927.0,2.011,,,,2135.575677,13.18387,,23.2,232000000000.0,,-1.474383971,18.100620000000003,85.52,1.062087418,236573.3333,13.0,26.0,23.0,23.0,102.0,16.0,8.0,9.0,197.0,150.0,567.0,63.0
12,Austria,Europe - Western,Europe,Europe & Central Asia,1984,[1984],42.54699818,25.02208,24.06105,0.0,1.5219999999999998,7.22362896,10.0,2.95368815,34.02233845,58.59999847,,16375.10914,,,7.349999905,34.79857526,67010.83859,,,11.3,4.9501088,,73.79,,,,,1.8,1.7252610000000002,2.047148,1.4578010000000001,1.30049689,-0.0062949040000000005,7550960.0,90.045,,92.705,,1037.764609,20.8776,,25.996,124000000000.0,,-0.835091072,22.1333,65.531,0.047129200999999996,54545.333329999994,21.0,75.0,7.0,23.0,51.0,69.0,6.0,29.0,77.0,129.0,487.0,54.111111111111114
13,Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1984,[1984],,24.64121,26.415909999999997,0.0,2.98,,-7.0,,,87.80000305,,,,,,,9281.555824,,,79.6,,,65.499,,,,,,,,,,1.566370993,6565062.0,75.809,,,,,,,,,,,,53.3538,1.8370082669999999,,0.0,0.0,64.0,122.0,0.0,0.0,98.0,99.0,85.0,0.0,468.0,117.0
14,Bahamas,America - Central,Central and South America,America,1984,[1984],1.098901099,24.66558,26.338209999999997,0.0,2.9189999999999996,8.07021054,,,63.588261800000005,73.80000305,,18841.51612,,,,58.30679287,42848.27602,,,24.3,3.1714352189999997,,69.438,,,,,0.943199992,,,,,2.117085897,229899.0,16.566,,,,,,,,4331645714.0,,5.281468929,,75.9596,3.062036475,1855.3333329999998,78.0,163.0,63.0,0.0,11.0,103.0,21.0,72.0,157.0,69.0,737.0,92.125
15,Bahrain,Asia - Western,Asia,Middle East & North Africa,1984,[1984],11.5942029,24.431739999999998,25.6136,0.0,4.4719999999999995,22.74293591,-10.0,8.880986787000001,96.48621034,25.0,,9619.930978,,,,93.84405843,39660.12438,,,22.0,-0.418480511,,70.965,,,,,,,,,,2.6697689380000003,404829.0,583.327,,93.73,,2782.891433,,,,3894427038.0,,2.642151913,,86.9442,2.91251769,9207.0,83.0,140.0,101.0,151.0,3.0,129.0,26.0,50.0,11.0,100.0,794.0,88.22222222222223
16,Bangladesh,Asia - Southern,Asia,South Asia,1984,[1984],77.28355228,20.36524,18.57151,0.0,5.71,0.101556559,-7.0,0.104744473,3.279997223,61.40000153,,264.82342459999995,,,,12.95624424,1427.731516,,,121.0,14.04688355,,56.861000000000004,,,,,,,,,0.017678144,2.6722280069999997,89828434.0,623.817,90.46,62.001000000000005,,5.574101966000001,,,,23788673522.0,,-9.676247022,,16.967,5.83968334,9122.666667,50.0,7.0,126.0,122.0,127.0,13.0,186.0,137.0,8.0,99.0,875.0,97.22222222222223
17,Barbados,America - Central,Central and South America,America,1984,[1984],44.18604651,24.59913,26.99588,0.0,1.858,2.953673137,,,71.92982856,76.59999847,,7353.519251000001,,,,67.18343399,26006.54684,,,19.7,5.448014762000001,,69.54,,,,,0.890699983,,,,,0.485690529,253244.0,588.94,,102.101,,,,,,1862234629.0,,4.746394566,,36.6964,-1.4610964130000001,748.0,97.0,70.0,25.0,0.0,6.0,114.0,46.0,70.0,10.0,50.0,488.0,61.0
18,Belarus,Europe - Eastern,Europe,Europe & Central Asia,1984,[1984],,24.9164,26.17109,0.0,2.099,,-7.0,,,94.09999847,,,,,,,12399.95856,,,16.5,,,70.65,,,,,,,,,,0.6783805270000001,9931687.0,47.84,,,,,,,33.074,,,,,60.766000000000005,2.449895788,,0.0,0.0,36.0,122.0,0.0,0.0,81.0,56.0,111.0,0.0,406.0,101.5
19,Belgium,Europe - Western,Europe,Europe & Central Asia,1984,[1984],,25.21949,24.9503,0.0,1.571,10.71709981,10.0,4.335818475,70.030404,56.70000076,,16013.871030000002,,,7.980000018999999,69.67280616,42997.87603,,,10.2,5.438717464,,74.43,,,8.0,,2.7,1.670277,1.8330799999999998,1.506577,,-0.0015017079999999998,9835279.0,322.172,,101.37100000000001,,1486.3714220000002,14.60331,,14.11,158000000000.0,,0.357484959,18.75999,95.8202,0.11315361300000001,105405.6667,18.0,0.0,9.0,23.0,7.0,117.0,19.0,21.0,19.0,140.0,373.0,46.625
20,Belize,America - Central,Central and South America,America,1984,[1984],4.252520823999999,24.81656,26.270329999999998,0.0,5.17,1.070453214,,,62.44665718,21.29999924,,1798.958544,,,,70.15173068,7075.9533200000005,,,47.9,9.444440341,,70.865,,,,,0.27189999800000003,,,,,3.133109549,160991.0,7.01,,,,,,,,291512608.0,,-7.705073495,,48.61,2.740956407,172.33333330000002,128.0,154.0,115.0,0.0,12.0,119.0,118.0,52.0,182.0,23.0,903.0,112.875
