,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
0,Afghanistan,Asia - Southern,Asia,South Asia,1964,[1964],58.06693958,,,,7.671,0.08015985099999999,-7.0,,8.88889265,,,,,,,18.05555524,2538.801845,,,226.5,,,33.639,,,,,,,,,,2.08209445,10474903.0,16.064,,,,,,,,,,-9.16666259,,9.081,5.101754371,839.6666667000002,0.0,33.0,179.0,105.0,79.0,29.0,143.0,181.0,140.0,69.0,958.0,106.44444444444444
1,Albania,Europe - Southern,Europe,Europe & Central Asia,1964,[1964],44.89051095,,,,5.711,1.109828235,-9.0,,,,,,,,,,7421.0913,,,97.9,,,65.475,,,,,,,,,,2.932065412,1817098.0,63.208,,,,,,,,,,,,31.125,3.2699851160000004,2016.6666670000002,0.0,69.0,77.0,125.0,0.0,0.0,87.0,51.0,81.0,85.0,575.0,82.14285714285714
2,Algeria,Africa - Northern,Africa,Middle East & North Africa,1964,[1964],18.54274606,,,,7.653,0.484803036,-8.0,,25.08405857,,,1170.323896,,,,29.43976242,9643.309826,,,143.3,1.6951831769999999,,47.953,,,,,,,,,,2.028692696,11654905.0,4.893,,,,,,,,13640013825.0,,-4.355703849,,36.2164,6.047474151,5650.333333,35.0,125.0,178.0,110.0,36.0,63.0,69.0,133.0,173.0,101.0,1023.0,102.3
3,American Samoa,Oceania,Oceania,East Asia & Pacific,1964,[1964],20.0,,,,,,,,,,,,,,,,16493.06333,,,,,,,,,,,,,,,,3.601484826,22672.0,113.93,,,,,,,,,,,,67.9094,4.228692478999999,,0.0,118.0,0.0,0.0,0.0,0.0,37.0,0.0,45.0,0.0,200.0,66.66666666666667
4,Andorra,Europe - Southern,Europe,Europe & Central Asia,1964,[1964],55.31914894,,,,,,,,,,,,,,,,77661.92739,,,,,,,,,,,,,,,,6.301809635,17438.0,37.260999999999996,,,,,,,,,,,,68.046,9.891014058,,0.0,41.0,0.0,0.0,0.0,0.0,3.0,0.0,97.0,0.0,141.0,47.0
5,Angola,Africa - Central,Africa,Sub-Saharan Africa,1964,[1964],45.92123205,,,,7.425,0.229464533,,,,,,,,,,,14479.46434,,,,,,34.604,,,,,,,,,,1.795637248,5337063.0,4.281000000000001,,,,,,,,,,,,12.0902,5.278186885,1224.666667,0.0,66.0,173.0,0.0,0.0,0.0,46.0,179.0,182.0,75.0,721.0,120.16666666666667
6,Anguilla,America - Central,Central and South America,America,1964,[1964],,,,,,,,,,,,,,,,,14760.420719999998,,,,,,,,,,,,,,,,,6057.0,66.56,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,76.0,0.0,119.0,59.5
7,Antigua and Barbuda,America - Central,Central and South America,America,1964,[1964],20.45454545,,,,4.25,1.5628640759999999,,,,,,,,,,,10244.91396,,,,,,63.775,,,,,,,,,,2.034085201,58653.0,132.69899999999998,,,,,,,,,,,,37.2192,0.41054658899999996,91.66666667,0.0,113.0,55.0,0.0,0.0,0.0,63.0,63.0,39.0,29.0,362.0,60.333333333333336
8,Argentina,America - South,Central and South America,America,1964,[1964],48.70738008,,,,3.068,2.53669857,-1.0,,5.5637156160000005,,,5375.463707,,,,5.563714062000001,22358.65635,,,59.25,28.77461735,,65.388,,,,,,,,,,1.529181301,21966478.0,7.9,,,,,,,,118000000000.0,,1.55e-06,,75.8174,2.25937824,55722.333329999994,11.0,56.0,35.0,52.0,84.0,3.0,27.0,52.0,166.0,132.0,618.0,61.8
9,Armenia,Asia - Western,Asia,Europe & Central Asia,1964,[1964],,,,,4.1610000000000005,,-7.0,,,,,,,,,,6261.560985,,,,,,67.714,,,,,,,,,,3.217815214,2138133.0,71.749,,,,,,,,,,,,54.7526,4.818426728,,0.0,0.0,52.0,105.0,0.0,0.0,95.0,42.0,72.0,0.0,366.0,73.2
10,Aruba,America - Central,Central and South America,America,1964,[1964],11.11111111,,,,4.059,,,,,,,,,,,,10958.109770000001,,,,,,67.113,,,,,,,,,,0.58560429,57031.0,316.839,,,,,,,,,,,,50.7152,0.55563749,,0.0,140.0,48.0,0.0,0.0,0.0,60.0,43.0,12.0,0.0,303.0,60.6
11,Australia,Oceania,Oceania,East Asia & Pacific,1964,[1964],61.05059683,,,,3.154,9.797168828,10.0,3.349414167,14.9396568,,,10231.144470000001,,,,13.62194439,39989.69179,,,18.8,3.261038815,,70.65,,,,,,1.549353,1.833447,1.259366,,1.962354296,11122567.0,1.4369999999999998,,,,854.6501752999999,10.275789999999999,,47.0,114000000000.0,,1.161597313,27.39592,83.0938,2.43425939,108969.6667,12.0,24.0,37.0,21.0,63.0,20.0,6.0,20.0,196.0,142.0,541.0,54.1
12,Austria,Europe - Western,Europe,Europe & Central Asia,1964,[1964],48.32019406,,,,2.795,5.392745303,10.0,1.855085155,23.39939892,,,8683.454516,,,,23.58618233,35116.90087,,,29.6,3.1837882189999998,,70.16,,,,,1.4,1.0125520000000001,1.1311360000000001,0.8764134,,0.666548205,7220812.0,86.10799999999999,,,,360.26301939999996,15.26813,,58.318000000000005,62727547439.0,,-0.186783408,25.42539,64.9528,0.7561919009999999,38940.0,17.0,58.0,28.0,21.0,38.0,49.0,10.0,29.0,62.0,128.0,440.0,44.0
13,Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1964,[1964],,,,,5.468,,-7.0,,,,,,,,,,6484.041469,,,,,,62.701,,,,,,,,,,3.156140087,4440733.0,51.278999999999996,,,,,,,,,,,,51.4638,2.575285119,,0.0,0.0,69.0,105.0,0.0,0.0,92.0,72.0,88.0,0.0,426.0,85.2
14,Bahamas,America - Central,Central and South America,America,1964,[1964],0.9990009990000001,,,,4.22,8.117129984,,,,,,14584.42775,,,,,33416.040389999995,,,,1.5053020380000002,,64.189,,,,,,,,,,4.8805122139999995,133709.0,9.635,,,,,,,,1950069250.0,,,,62.5556,6.046896518,1085.333333,62.0,164.0,54.0,0.0,0.0,0.0,11.0,60.0,158.0,73.0,582.0,83.14285714285714
15,Bahrain,Asia - Western,Asia,Middle East & North Africa,1964,[1964],10.14492754,,,,7.192,8.791950125,,,,,,,,,,,26744.93402,,,95.3,,,57.181999999999995,,,,,,,,,,2.5978959809999997,181833.0,262.007,,,,,,,,,,,,82.464,2.641560926,1598.666667,0.0,142.0,163.0,0.0,0.0,0.0,20.0,98.0,19.0,81.0,523.0,87.16666666666667
16,Bangladesh,Asia - Southern,Asia,South Asia,1964,[1964],73.13513098,,,,6.853,,,,10.02841234,,,281.2643859,,,,14.121855499999999,1468.125394,,,157.3,-8.743224697,,49.297,,,,,,,,,,2.889126927,56071080.0,389.38800000000003,,,,,,,265.0,15770797883.0,,-4.093443168,,5.9958,6.5443009860000005,,33.0,10.0,140.0,0.0,75.0,22.0,176.0,123.0,9.0,0.0,588.0,73.5
17,Barbados,America - Central,Central and South America,America,1964,[1964],44.18604651,,,,4.093999999999999,0.7663162090000001,,,52.09903122,,,3915.325593,,,,60.38751346,12260.42922,,,55.9,-5.377452177,,62.818999999999996,,,,,,,,,,0.40987254799999995,234455.0,545.244,,,,,,,,917967662.0,,-8.288482239,,37.0682,0.606460408,179.66666669999998,72.0,72.0,51.0,0.0,10.0,87.0,54.0,67.0,8.0,41.0,462.0,51.333333333333336
18,Belarus,Europe - Eastern,Europe,Europe & Central Asia,1964,[1964],,,,,2.6010000000000004,,-7.0,,,,,,,,,,7265.166058,,,,,,73.48,,,,,,,,,,1.025769925,8521413.0,41.047,,,,,,,16.3,,,,,36.9818,4.17138821,,0.0,0.0,24.0,105.0,0.0,0.0,89.0,5.0,94.0,0.0,317.0,63.4
19,Belgium,Europe - Western,Europe,Europe & Central Asia,1964,[1964],,,,,2.5989999999999998,11.04461095,10.0,3.021711404,42.4975544,,,8969.632551,,,,42.8293237,24178.81884,,,25.0,4.642426558,,70.73,,,,,1.4,0.5830883000000001,0.4509259,0.7204903,,0.946477536,9384939.0,307.421,,,,269.0779972,6.145962,,28.8,84119657630.0,,-0.331769297,22.57327,93.0016,1.092172512,103653.0,15.0,0.0,23.0,21.0,15.0,79.0,25.0,19.0,13.0,141.0,351.0,39.0
20,Belize,America - Central,Central and South America,America,1964,[1964],3.5072336689999997,,,,6.42,0.8143820509999999,,,,,,1003.121064,,,,,3944.108132,,,,2.13632411,,62.24100000000001,,,,,,,,,,3.306434779,103555.0,4.5089999999999995,,,,,,,,104921536.0,,,,52.7904,2.7220544110000002,84.33333333,88.0,155.0,109.0,0.0,0.0,0.0,126.0,73.0,180.0,27.0,758.0,108.28571428571429
21,Benin,Africa - Western,Africa,Sub-Saharan Africa,1964,[1964],13.57801483,,,,6.497000000000001,0.055837084,-4.0,,5.13733827,,,270.1229417,,,,12.24316513,2024.492003,,,175.3,-0.36367187799999995,,39.141999999999996,,,,,,,,,,1.538508835,2561022.0,22.74,,,,,,,,691790796.4,,-7.1058268589999996,,11.8702,7.159347652999999,143.0,75.0,134.0,115.0,57.0,86.0,12.0,160.0,163.0,122.0,38.0,962.0,96.2
22,Bermuda,America - North,North America,America,1964,[1964],20.0,,,,,4.193351632,,,,,,21842.81022,,,,,58378.55919,,,,0.46105303700000005,,,,,,,,,,,,2.4845997019999997,48092.0,907.3960000000001,,,,,,,,1068113420.0,,,,100.0,2.4845998590000002,201.66666669999998,71.0,118.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,43.0,242.0,48.4
23,Bhutan,Asia - Southern,Asia,South Asia,1964,[1964],7.765957447000001,,,,6.67,,-10.0,,,,,,,,,,1573.85476,,,,,,33.827,,,,,,,,,,2.727998999,251419.0,5.349,,,,,,,,,,,,4.4688,7.733975676,,0.0,147.0,125.0,129.0,0.0,0.0,172.0,180.0,170.0,0.0,923.0,153.83333333333334
24,Bolivia,America - South,Central and South America,America,1964,[1964],27.58054094,,,,6.607,0.403790616,-4.0,,,,,983.4093688999999,,,,,4646.0477789999995,,,163.1,7.519264989,,43.913000000000004,,,,,,,,,,2.253983989,3668568.0,3.339,,,,,,,,3607704142.0,,,,37.958,3.04481557,1481.333333,49.0,94.0,122.0,57.0,0.0,0.0,116.0,149.0,185.0,80.0,852.0,106.5
25,Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1964,[1964],,,,,3.6189999999999998,,-7.0,,,,,,,,,,4058.7258380000003,,,,,,62.81399999999999,,,,,,,,,,1.264377217,3357005.0,65.57,,,,,,,,,,,,22.0616,4.748420266,,0.0,0.0,44.0,105.0,0.0,0.0,125.0,69.0,77.0,0.0,420.0,84.0
26,Botswana,America - South,Africa,Sub-Saharan Africa,1964,[1964],45.87722549,,,,6.681,,,,28.81097508,,,275.6701492,,,,48.57664403,2037.4976170000002,,,101.8,2.547776727,,52.035,,,,,,,,,,2.6651457869999997,579518.0,0.996,,,,,,,,159750039.4,,-19.76566895,,3.6832,6.987234177,,86.0,67.0,126.0,0.0,29.0,82.0,159.0,111.0,197.0,0.0,857.0,107.125
27,Brazil,America - South,Central and South America,America,1964,[1964],19.627941399999997,,,,5.952999999999999,0.6916530559999999,-3.0,,6.385409108999999,,,1555.615761,,,,5.677599613,6554.010764,,,115.7,93.83467917,,56.521,,,,,,,,,,2.944145723,82021855.0,9.634,,,,,,,,128000000000.0,,0.707809496,,50.0574,4.920501015,56730.666670000006,8.0,119.0,88.0,55.0,83.0,4.0,91.0,100.0,159.0,134.0,841.0,84.1
28,British Virgin Islands,America - Central,Central and South America,America,1964,[1964],,,,,,0.850636044,,,,,,,,,,,5803.42476,,,,,,,,,,,,,,,,,8621.0,57.093,,,,,,,,,,,,,,7.333333333,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,85.0,1.0,185.0,61.666666666666664
29,Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1964,[1964],4.5540796960000005,,,,6.227,3.5822714330000003,,,,,,,,,,,88446.58575,,,,,,64.59899999999999,,,,,,,,,,4.40593273,95191.0,16.512,,,,,,,,,,,,50.7802,8.106478118,341.0,0.0,153.0,97.0,0.0,0.0,0.0,2.0,57.0,139.0,53.0,501.0,83.5
30,Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1964,[1964],52.17391304,,,,2.181,5.26485933,-7.0,,,,,,,,,,9443.727816,,,40.0,,,71.14,,,,,,2.102056,2.9822029999999997,1.239602,,0.81609405,8140705.0,73.398,,,,,5.145961,,72.6,,,,6.465355000000001,44.023999999999994,4.827429253,42859.66667,0.0,49.0,8.0,105.0,0.0,0.0,71.0,16.0,69.0,129.0,447.0,63.857142857142854
31,Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1964,[1964],29.85745614,,,,6.414,0.021172315,-7.0,,2.7988361530000003,,,128.0496273,,,,11.51843946,1439.130444,,,153.4,1.8122166219999998,,36.330999999999996,,,,,,,,,,1.614592558,5195464.0,18.962,,,,,,,,665277229.1,,-8.71960331,,5.0984,3.5874806969999997,110.0,77.0,88.0,108.0,105.0,89.0,10.0,177.0,174.0,131.0,33.0,992.0,99.2
