,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
0,Afghanistan,Asia - Southern,Asia,South Asia,1956,[1956],,,,,7.671,0.020401088,-10.0,,,,,,,,,,2511.200806,,,,,,29.511,,,,,,,,,,,8986449.0,13.780999999999999,,,,,,,,,,,,,,183.33333330000002,0.0,0.0,182.0,97.0,0.0,0.0,139.0,183.0,136.0,32.0,769.0,128.16666666666666
1,Albania,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],,,,,6.398,0.590725077,-9.0,,,,,,,,,,5475.907462,,,,,,57.946999999999996,,,,,,,,,,,1421417.0,49.443999999999996,,,,,,,,,,,,,,839.6666667000002,0.0,0.0,112.0,93.0,0.0,0.0,87.0,71.0,84.0,57.0,504.0,84.0
2,Algeria,Africa - Northern,Africa,Middle East & North Africa,1956,[1956],,,,,7.648,0.503945835,,,,,,,,,,,8293.270886,,,148.2,,,44.345,,,,,,,,,,,9924347.0,4.167,,,,,,,,,,,,,,5001.333333,0.0,0.0,181.0,0.0,0.0,0.0,59.0,123.0,172.0,82.0,617.0,123.4
3,American Samoa,Oceania,Oceania,East Asia & Pacific,1956,[1956],,,,,,,,,,,,,,,,,14644.544919999998,,,,,,,,,,,,,,,,,19640.0,98.693,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,44.0,0.0,72.0,36.0
4,Andorra,Europe - Southern,Europe,Europe & Central Asia,1956,[1956],,,,,,,,,,,,,,,,,57610.15895,,,,,,,,,,,,,,,,,9964.0,21.291,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,117.0,0.0,120.0,60.0
5,Angola,Africa - Central,Africa,Sub-Saharan Africa,1956,[1956],,,,,7.142,0.10863274199999999,,,,,,,,,,,10647.106029999999,,,,,,31.396,,,,,,,,,,,4624143.0,3.7089999999999996,,,,,,,,,,,,,,502.33333330000005,0.0,0.0,165.0,0.0,0.0,0.0,45.0,178.0,177.0,50.0,615.0,123.0
6,Anguilla,America - Central,Central and South America,America,1956,[1956],,,,,,,,,,,,,,,,,12161.14124,,,,,,,,,,,,,,,,,5743.0,63.11,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,71.0,0.0,106.0,53.0
7,Antigua and Barbuda,America - Central,Central and South America,America,1956,[1956],,,,,4.5280000000000005,,,,,,,,,,,,8440.805856,,,,,,60.243,,,,,,,,,,,53061.0,120.04799999999999,,,,,,,,,,,,,,,0.0,0.0,53.0,0.0,0.0,0.0,57.0,58.0,38.0,0.0,206.0,51.5
8,Argentina,America - South,Central and South America,America,1956,[1956],,,,,3.136,2.300034416,-3.0,,,,,,,,,,19890.1032,,,57.0,,,64.11,,,,,,,,,,,19276813.0,6.933,,,,,,,,,,,,,,44337.33333,0.0,0.0,34.0,43.0,0.0,0.0,17.0,42.0,164.0,112.0,412.0,68.66666666666667
9,Armenia,Asia - Western,Asia,Europe & Central Asia,1956,[1956],,,,,4.506,,-7.0,,,,,,,,,,5076.045308,,,,,,64.285,,,,,,,,,,,1619242.0,54.336999999999996,,,,,,,,,,,,,,,0.0,0.0,52.0,82.0,0.0,0.0,94.0,41.0,80.0,0.0,349.0,69.8
