,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
0,Afghanistan,Asia - Southern,Asia,South Asia,2008,[2008],58.12366803,20.62058,21.07402,26.47087999,6.196000000000001,0.126563922,,,26.67611975,,,,3.74461289,,,47.65483333,2954.417524,,,77.6,19.64346248,1.6884854480000002,58.618,,,,,,,,,,2.8312996389999996,29839994.0,45.761,,59.653999999999996,,,,5.2259786880000005,115.0,,31.80972721,-32.08533333,,22.6962,3.994961219,3776.666667,0.0,43.0,178.0,0.0,120.0,81.0,155.0,155.0,136.0,75.0,943.0,117.875
1,Albania,Europe - Southern,Europe,Europe & Central Asia,2008,[2008],43.10218978,26.44657,25.65726,58.45331469,1.761,1.297752738,9.0,0.655651275,29.51131757,,,1804.4194149999998,109.0742842,3.469615642,,56.11927665,19096.591080000002,,,17.4,4.360904563,23.86,76.433,95.93863978,98.83120696,,,,,,,,0.36945044299999996,3181397.0,110.665,4.25,98.834,,636.3413833999999,,,11.2,5740574515.0,275.14252039999997,-26.60795909,,50.1148,2.596203466,4128.666667,113.0,82.0,41.0,47.0,111.0,100.0,83.0,45.0,80.0,77.0,779.0,77.9
2,Algeria,Africa - Northern,Africa,Middle East & North Africa,2008,[2008],17.34404259,24.5962,26.368409999999997,78.51588828,2.725,3.232666515,2.0,1.08761925,46.27365752,,,2173.787903,147.8207065,0.656696365,,22.9086299,18488.159519999997,,,19.8,14.60217944,10.18,70.332,,,,,,,,,0.40701982700000006,1.526116691,34428028.0,14.455,,,,590.5098142999999,,45.25581817,7.0,74839230786.0,185.8482335,23.36502762,,69.89,3.0645752999999996,111294.3333,45.0,153.0,112.0,105.0,64.0,11.0,88.0,107.0,175.0,159.0,1019.0,101.9
3,American Samoa,Oceania,Oceania,East Asia & Pacific,2008,[2008],25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6551955000000003,66217.0,332.749,,,,,,,,,,,,92.3,2.023152238,,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,164.0,82.0
4,Andorra,Europe - Southern,Europe,Europe & Central Asia,2008,[2008],38.29787234,27.63048,26.431959999999997,77.74804122,,6.5272412420000006,,,,,,21943.3399,2369.6844920000003,,,,111139.5081,,,3.0,3.185098698,70.04,,,,,,,,,,,1.447877605,82577.0,176.447,,101.666,,,,,8.9,1812015179.0,3391.470029,,,88.8082,0.891372396,539.0,140.0,101.0,0.0,0.0,0.0,0.0,4.0,0.0,55.0,34.0,334.0,66.8
5,Angola,Africa - Central,Africa,Sub-Saharan Africa,2008,[2008],46.27416379,22.25083,23.48431,37.55055726,6.434,1.4426424919999998,-2.0,0.657618232,78.09852295,,,622.566879,125.54511000000001,,,51.22579473,16465.37324,,,109.7,19.68160897,4.6,49.882,,,,,,,,,,2.882927374,18037964.0,14.469000000000001,,84.25200000000001,,172.9992274,,,167.0,24669478552.0,148.8788168,25.09161339,,56.6046,4.462704179,26022.33333,68.0,74.0,180.0,116.0,18.0,88.0,90.0,176.0,174.0,121.0,1105.0,110.5
6,Anguilla,America - Central,Central and South America,America,2008,[2008],,,,,,3.980909729,,,,,,,,,,,72436.12147,,,,,,,,,,,,,,,,,14737.0,161.945,,,,,,,,,,,,,,58.66666667,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,58.0,4.0,82.0,27.333333333333332
7,Antigua and Barbuda,America - Central,Central and South America,America,2008,[2008],29.54545455,25.76602,27.50545,157.2173433,2.164,5.14880507,,,46.16573957,,,13352.16854,408.58569,,,67.09407114,51679.74211,,,10.5,3.021692885,75.03,75.087,,,,,,,,,,1.094816972,86881.0,196.563,,94.633,,,,,,1024206417.0,601.8928463999999,-24.25653611,,30.1824,0.598410103,447.33333330000005,151.0,125.0,78.0,0.0,65.0,118.0,35.0,61.0,50.0,31.0,714.0,79.33333333333333
8,Argentina,America - South,Central and South America,America,2008,[2008],51.52209421,27.5017,27.46523,117.1083875,2.241,4.585560931,8.0,1.930172655,24.47541308,,,9935.834245999999,437.0032935,9.017369186,,20.65042544,40373.84624,,,13.8,19.06845032,28.11262348,75.41,,,,,,,,,0.609841096,0.8756293940000001,39714298.0,14.284,3.66,105.01700000000001,,768.4282997,,,67.4,395000000000.0,698.4512683999999,3.8249876389999997,,91.9622,1.086154641,182112.3333,16.0,62.0,82.0,64.0,129.0,6.0,45.0,55.0,176.0,166.0,801.0,80.1
9,Armenia,Asia - Western,Asia,Europe & Central Asia,2008,[2008],61.34129213,25.355420000000002,27.1342,46.83206418,1.4,1.804106217,5.0,0.973201147,15.0471035,,,1520.033931,63.53859502,1.405882026,,40.65575862,16040.941969999998,,,17.9,5.989562361,6.21,74.07,,,,,,,,,,0.159460015,3079087.0,103.325,12.43,102.74600000000001,,603.7630576,,17.32175873,27.2,4680316716.0,142.7182745,-25.60865512,,64.1132,0.122656896,5555.0,120.0,38.0,14.0,96.0,145.0,64.0,92.0,72.0,82.0,88.0,811.0,81.1
10,Aruba,America - Central,Central and South America,America,2008,[2008],11.11111111,,,114.47984380000001,1.726,21.68186039,,,,,,,,,,,76064.92268999999,,,,,34.2,74.77199999999999,,,,,,,,,,1.240534428,105526.0,586.256,,98.699,,,,,35.8,,,,,46.7062,1.316356101,2288.0,0.0,163.0,40.0,0.0,0.0,0.0,15.0,63.0,14.0,64.0,359.0,59.833333333333336
11,Australia,Oceania,Oceania,East Asia & Pacific,2008,[2008],54.31810786,27.56373,26.87777,102.8176451,1.956,18.2656569,10.0,5.778817312999999,19.88292009,,,25190.72063,2875.4608829999997,10.78836729,,21.75122708,103332.9992,,,4.3,4.611955757,71.7210626,81.567,,,,,,,,,1.9736668769999999,2.001429237,21513817.0,2.779,,98.55799999999999,,2825.391095,,24.09120043,16.8,543000000000.0,4229.033066,-2.0959063540000002,,88.7004,2.196432346,392964.0,13.0,56.0,59.0,33.0,139.0,9.0,6.0,4.0,200.0,179.0,698.0,69.8
12,Austria,Europe - Western,Europe,Europe & Central Asia,2008,[2008],38.45967253,26.467409999999997,25.09414,129.6601719,1.411,8.178764487,10.0,4.023800859,59.26723174,,,27305.92329,3976.358149,10.99615568,,53.51060924,110100.9217,,,3.6,1.763741978,72.91265428,80.51,,,,,,,,,1.608884215,0.434411324,8341806.0,99.475,,96.685,,2068.123309,7.967411,20.10830258,11.202,228000000000.0,5153.358661,5.755565187999999,,67.086,0.709062958,68225.66667,24.0,99.0,16.0,33.0,39.0,93.0,5.0,13.0,87.0,149.0,558.0,55.8
