,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
0,Afghanistan,Asia - Southern,Asia,South Asia,1996,[1996],57.88142220000001,20.85155,20.55575,0.0,7.859,0.057964759000000005,-7.0,,,28.0,,,,,,,1853.7319079999997,,,100.2,,,52.995,,,,,,,,,,2.917137528,20684982.0,31.721,,,,,,,,,,,,19.5894,4.151539706,1199.0,0.0,46.0,186.0,141.0,0.0,0.0,178.0,162.0,145.0,54.0,912.0,152.0
1,Albania,Europe - Southern,Europe,Europe & Central Asia,1996,[1996],41.27737226,25.31097,24.96643,0.073893279,2.67,0.647904842,0.0,0.45643236200000004,12.31651656,64.30000305,,990.653204,17.0620735,0.17950322800000001,,35.23078755,10708.78352,,,30.1,28.41848296,0.032196828,72.415,,,,,1.354,,,,,-0.91162678,3112597.0,108.272,,97.60799999999999,,344.15911869999996,,9.409979069,24.8,3083504202.0,43.04581793,-22.91427099,,39.477,0.5324969039999999,2016.6666670000002,113.0,89.0,78.0,95.0,147.0,74.0,95.0,59.0,72.0,67.0,889.0,98.77777777777777
2,Algeria,Africa - Northern,Africa,Middle East & North Africa,1996,[1996],16.64161495,23.46811,25.15,0.040643551,3.207,3.354239287,-3.0,0.8161179120000001,29.76044833,32.70000076,,1698.333823,47.96005336,0.367838705,,23.94469955,14472.63743,,,35.8,24.02190406,0.0017385329999999998,68.123,,,,,,,,,0.279988905,1.735423665,28786855.0,12.085999999999999,,89.676,,295.1389157,,,,48889689496.0,61.76988298,5.815748775,,56.955,3.431760113,96558.0,44.0,150.0,101.0,105.0,85.0,33.0,81.0,105.0,173.0,153.0,1030.0,103.0
3,American Samoa,Oceania,Oceania,East Asia & Pacific,1996,[1996],20.0,,,2.4118290940000002,,,,,,,,,,,,,21499.47114,,,,,,,,,,,,,,,,1.8386588,53901.0,270.85900000000004,,,,,,,51.9,,,,,85.9772,2.652877241,,0.0,147.0,0.0,0.0,0.0,0.0,57.0,0.0,32.0,0.0,236.0,78.66666666666667
4,Andorra,Europe - Southern,Europe,Europe & Central Asia,1996,[1996],38.29787234,26.507690000000004,25.96645,8.413693716000001,,6.520817044,,,,,,14662.7364,982.7948194,13.56072455,,,77517.19518,,,5.0,0.7971827779999999,1.5266010230000002,,,,,,,,,,,0.812774821,65227.0,139.374,,,,,,,,956406307.3,1506.72015,,,93.4078,0.542072112,425.33333330000005,141.0,100.0,0.0,0.0,0.0,0.0,9.0,0.0,55.0,36.0,341.0,68.2
5,Angola,Africa - Central,Africa,Sub-Saharan Africa,1996,[1996],46.12176145,21.19076,21.36478,0.026484162999999998,6.984,0.842412671,-2.0,0.532422422,82.72225531,77.0,,272.2911919,8.72415485,,,68.29997094,6472.056292,,,123.9,5399.526172,0.000775929,42.526,,,,,,,,,,2.8312210010000003,12452725.0,9.988999999999999,,,,49.07674377,,,,7448767728.0,11.34438065,14.10695084,,44.9878,5.078668246,10490.33333,82.0,73.0,180.0,102.0,9.0,144.0,122.0,182.0,180.0,106.0,1180.0,118.0
6,Anguilla,America - Central,Central and South America,America,1996,[1996],,,,,,,,,,,,,,,,,38873.419630000004,,,,,,,,,,,,,,,,,10036.0,110.286,,,,,,,50.6,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,70.0,0.0,108.0,54.0
7,Antigua and Barbuda,America - Central,Central and South America,America,1996,[1996],29.54545455,24.72544,26.2935,1.845280341,2.248,4.580080436,,,75.66568743,,,9844.761969,227.11142650000002,,,98.5625289,36313.56153,,,16.6,2.57501583,2.858449577,72.664,,,,,1.141,,,,,2.599864606,70450.0,159.389,,,,,,,82.6,693563480.7,353.8101622,-22.89684147,,33.5942,1.513927166,322.6666667,147.0,120.0,60.0,0.0,14.0,164.0,40.0,55.0,52.0,30.0,682.0,75.77777777777777
8,Argentina,America - South,Central and South America,America,1996,[1996],46.92895432,26.47182,25.83772,1.890265151,2.717,3.6615633589999996,7.0,1.575621021,10.39912715,55.29999924,,7484.004016,357.2125912,5.59195718,,11.068684900000001,30736.148439999997,1.42,36.64,20.2,-0.052422212999999995,0.14195470400000001,72.945,,,,,,4.741041,8.138141000000001,1.487607,0.577037855,1.231663709,35287113.0,12.690999999999999,7.9,102.755,,493.2140683,6.016392,,62.8,264000000000.0,618.9228871,-0.669557754,10.70993,88.9482,1.562966214,129206.0,15.0,69.0,82.0,65.0,154.0,4.0,48.0,52.0,169.0,160.0,818.0,81.8
9,Armenia,Asia - Western,Asia,Europe & Central Asia,1996,[1996],45.85674157,24.02627,25.90632,0.009457204,1.8,0.8218310090000001,-6.0,0.557521078,23.240002800000003,78.09999847,,496.8729112,8.16128227,,,55.98955879,5194.899829999999,2.14,35.22,32.0,19.5917703,0.09457290199999999,69.376,,,,,3.591,,,,,-1.594565319,3172185.0,106.449,38.87,,,353.9194652,,,63.2,1576172796.0,29.26079518,-32.74955599,,65.7788,-2.01660609,2607.0,131.0,75.0,40.0,128.0,111.0,122.0,135.0,94.0,74.0,74.0,984.0,98.4
