,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
81,Guam,Oceania,Oceania,East Asia & Pacific,2000,[2000],37.03703704,,,17.531760199999997,2.824,,,,,63.90000153,260.0,,,,,,,,,,,16.11312704,75.01100000000001,,,,27.384,,,,,,1.4020104119999999,155147.0,282.599,,,,,,,64.0,,,,,93.103,1.627391214,,0.0,104.0,99.0,0.0,0.0,0.0,0.0,43.0,33.0,0.0,279.0,69.75
82,Guatemala,America - Central,Central and South America,America,2000,[2000],41.66666667,24.64744,25.65081,7.625018232,4.801,0.882315347,8.0,0.627306812,20.195034399999997,28.79999924,42080.0,1716.6853420000002,37.67355047,7.940791797,,28.95055351,9769.441848999999,1.14,44.49,39.9,6.830114686,0.712332905,67.768,,,,17.652,,24.62864,46.25898,4.978795,,2.366344174,11237101.0,103.198,25.41,88.825,,130.4615513,3.341239,10.06497645,118.0,19290566570.0,94.91066023,-8.755519114,4.781958,45.126999999999995,3.2642852239999995,9914.666667,66.0,91.0,149.0,56.0,125.0,42.0,106.0,115.0,79.0,104.0,933.0,93.3
83,Guernsey,Europe - Northern,Europe,Europe & Central Asia,2000,[2000],,,,,,,,,,,,,,,,,87771.03478999999,,,,,,,,,,,,,,,,,64080.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,8.0
84,Guinea,Africa - Western,Africa,Sub-Saharan Africa,2000,[2000],54.89581638,21.90431,21.775570000000002,0.504668592,5.939,0.153354762,-1.0,,24.52387304,89.59999847,69040.0,358.9629091,3.93401614,0.095429159,,27.86801731,1813.2438989999998,,,103.5,11.12534799,0.09542492400000001,51.257,,,,17.794,0.094,,,,,1.42843157,8344486.0,33.94,,,,,,,169.0,3112362568.0,21.08740546,-4.266109494,,31.023000000000003,2.431413913,1279.666667,124.0,55.0,169.0,107.0,115.0,40.0,181.0,164.0,146.0,56.0,1157.0,115.7
85,Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,2000,[2000],57.89473684,21.43209,22.31093,0.0,5.845,0.159593118,5.0,,31.77529123,58.0,21200.0,173.6626946,1.73910841,,,51.57650454,1264.1518019999999,,,105.3,3.260737433,0.23010317100000002,51.468,41.3577676,59.49284785,,19.227,,,,,,1.9331181080000002,1240655.0,34.343,,65.39399999999999,,,,,137.0,215455490.3,10.74106778,-19.80121331,,35.851,3.9254425960000003,198.0,173.0,48.0,164.0,87.0,89.0,118.0,193.0,163.0,145.0,21.0,1201.0,133.44444444444446
86,Guyana,America - South,Central and South America,America,2000,[2000],8.676657353,23.34875,25.65099,5.433084936,2.585,2.195695637,6.0,,96.07997325,54.5,152050.0,972.1278856,44.74515633,1.955591946,,110.68862779999999,6282.698336,,,37.0,6.600052938999999,6.611491566000001,63.29,,,,24.029,0.48,,,,,0.219173007,733101.0,3.41,,,,,,,79.0,712667925.1,54.27928000000001,-14.60865452,,28.694000000000003,-0.089126615,1609.666667,159.0,170.0,87.0,76.0,7.0,167.0,130.0,131.0,193.0,61.0,1181.0,118.1
87,Haiti,America - Central,Central and South America,America,2000,[2000],61.32075472,23.173479999999998,22.44865,0.636178598,4.303,0.158196411,-2.0,0.232528945,12.69528229,37.70000076,1090.0,423.8688942,7.11900681,,,33.41453983,2688.975045,,,75.2,11.05890498,0.231270715,57.46,,,,19.127,,,,,,1.750413652,8645371.0,311.545,,,,15.879562599999998,,,56.0,3664503846.0,25.6786892,-20.71925754,,35.6,3.455885738,1367.666667,118.0,39.0,138.0,113.0,151.0,62.0,161.0,149.0,26.0,59.0,1016.0,101.6
88,Holy See,Europe - Southern,Europe,Europe & Central Asia,2000,[2000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787.0,1788.636,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
89,Honduras,America - Central,Central and South America,America,2000,[2000],26.23111985,24.48024,25.710060000000002,2.497060621,3.9960000000000004,0.809029351,7.0,0.48080981,53.97221046,53.79999924,63920.0,1142.709658,41.53028009,0.444344711,,66.4199569,6187.429561999999,,,31.0,30.81972678,1.203855999,70.482,,,,18.368,0.57,,,,,2.079758493,6218151.0,55.476000000000006,,,,209.5638108,,,107.0,7105541205.0,62.16551170000001,-12.44774645,,45.458,3.193331605,5030.666667,94.0,130.0,129.0,65.0,40.0,140.0,131.0,94.0,117.0,87.0,1027.0,102.7
90,Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,2000,[2000],,,,,,,,,,,,25756.663780000003,,,,,59944.755860000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,22.0
