,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
0,Afghanistan,Asia - Southern,Asia,South Asia,1992,[1992],58.30765221,21.14238,20.67746,0.0,7.725,0.092187586,0.0,,,29.0,,,,,,,1948.0241850000002,,,111.3,,,50.247,,,,,,,,,,3.391206687,15472076.0,23.726999999999997,,,4424.59,,,,,,,,,18.6306,4.614146966,1426.333333,0.0,43.0,185.0,94.0,0.0,0.0,173.0,163.0,154.0,59.0,871.0,174.2
1,Albania,Europe - Southern,Europe,Europe & Central Asia,1992,[1992],41.13138686,25.23077,24.96615,0.0,2.867,0.730643533,5.0,0.41573831299999997,11.49043801,61.5,,643.2858480000001,,,,88.51224837,7492.313703,,,34.5,249.68343670000002,,71.779,,,,,1.6500999930000002,,,,,-0.753570062,3266983.0,113.64200000000001,,,12750.76,175.2909336,,,16.3,2101603929.0,,-77.02181036,,37.4212,0.582369253,2387.0,119.0,89.0,74.0,79.0,134.0,155.0,110.0,54.0,64.0,71.0,949.0,105.44444444444444
2,Algeria,Africa - Northern,Africa,Middle East & North Africa,1992,[1992],16.31790204,23.18776,24.8421,0.01800213,4.238,3.0971620360000003,-7.0,0.9084582859999999,25.31959428,28.10000038,,1755.973698,,1.267021123,,23.86948995,15069.649940000001,,,40.0,21.92611451,,67.265,,,,,,,,,0.343136179,2.390765739,26557969.0,11.151,,84.259,439.6633,270.7498833,,,26.0,46635095028.0,,1.450104328,,53.6498,3.859850678,82254.33333,44.0,146.0,116.0,140.0,91.0,32.0,73.0,105.0,172.0,152.0,1071.0,107.1
3,American Samoa,Oceania,Oceania,East Asia & Pacific,1992,[1992],15.0,,,1.4099258780000001,,,,,,,,,,,,,20139.438980000003,,,,,,,,,,,,,,,,2.541697252,49648.0,249.487,,,,,,,51.7,,,,,82.6808,3.595111591,,0.0,150.0,0.0,0.0,0.0,0.0,59.0,0.0,32.0,0.0,241.0,80.33333333333333
4,Andorra,Europe - Southern,Europe,Europe & Central Asia,1992,[1992],38.29787234,26.240170000000003,25.87593,1.332940952,,,,,,,,15194.459219999999,,,,,81123.05137,,,6.1,6.710771356,,,,,,,,,,,,4.915722306,57767.0,123.434,,,,,,,,877738325.5,,,,94.2916,4.693044938,,139.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,58.0,0.0,304.0,76.0
5,Angola,Africa - Central,Africa,Sub-Saharan Africa,1992,[1992],46.12176145,21.14987,21.08987,0.0,7.1160000000000005,0.401560436,0.0,0.550548264,68.79133351,80.30000305,,322.09296789999996,,,,70.73005574,7883.537055,,,125.3,252.74049649999998,,41.32899999999999,,,,,,,,,,3.226989862,11002910.0,8.826,,,13194.83,50.03196662,,,,7785298083.0,,-1.938722227,,39.8816,6.71943097,4418.333333,80.0,72.0,180.0,94.0,16.0,141.0,105.0,184.0,180.0,88.0,1140.0,142.5
6,Anguilla,America - Central,Central and South America,America,1992,[1992],,,,,,,,,,,,,,,,,36593.47949,,,,,,,,,,,,,,,,,8985.0,98.736,,,,,,,45.9,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,78.0,0.0,112.0,56.0
7,Antigua and Barbuda,America - Central,Central and South America,America,1992,[1992],29.54545455,24.45644,25.95531,,2.096,4.597557025,,,96.10718501,,,9484.403123,,,,93.29814012,35032.06084,,,18.5,2.390414899,,71.783,,,,,,,,,,1.656221682,63802.0,144.34799999999998,,97.571,823.3710000000001,,,,76.5,605123888.1,,2.809044889,,34.84,0.8187509079999999,293.3333333,145.0,116.0,48.0,0.0,6.0,157.0,37.0,53.0,53.0,32.0,647.0,71.88888888888889
8,Argentina,America - South,Central and South America,America,1992,[1992],46.76086806,26.076420000000002,25.19889,0.13890867,2.918,3.620639536,7.0,1.4894507080000001,6.598187464,52.70000076,,6851.752586,,7.953191017000001,,8.132793113,27925.25613,1.74,33.93,22.8,11.92076024,0.0029928740000000004,72.024,,,,,2.684000015,4.81883,8.069508,1.7017900000000001,0.58494295,1.340016649,33540023.0,12.062999999999999,4.0,,24302.25,393.5753762,6.150061,,65.5,230000000000.0,,-1.534605649,10.30673,87.652,1.7217968469999998,121436.3333,16.0,66.0,77.0,61.0,150.0,4.0,46.0,52.0,169.0,157.0,798.0,79.8
9,Armenia,Asia - Western,Asia,Europe & Central Asia,1992,[1992],41.08146067,24.129820000000002,26.093220000000002,0.0,2.399,1.17441656,7.0,1.1933288690000001,39.82075297,77.19999695,,419.9765817,,,,61.25600122,4328.813387,,,38.6,568.80733,,67.979,,,,,3.5969998839999997,,,,,-1.784335772,3449940.0,115.77,,,2251.3887,717.3471575,,,94.1,1448894008.0,,-21.43524826,,66.8754,-2.1914288159999997,4051.666667,127.0,90.0,61.0,61.0,48.0,131.0,142.0,100.0,62.0,85.0,907.0,100.77777777777777
10,Aruba,America - Central,Central and South America,America,1992,[1992],11.11111111,,,0.02928858,2.187,25.23699342,,,115.5594443,,,18178.83714,,,,136.24707880000003,75361.64882999999,,,,5.703892153,,73.544,,,,,,,,,,5.48404132,68286.0,379.36699999999996,,,,,,,52.2,1241360073.0,,-20.6876345,,49.6958,4.858984121000001,1723.3333329999998,132.0,158.0,54.0,0.0,3.0,161.0,8.0,41.0,16.0,62.0,635.0,70.55555555555556
11,Australia,Oceania,Oceania,East Asia & Pacific,1992,[1992],60.68208739999999,26.00624,25.11666,2.8352256419999997,1.8880000000000001,16.79626843,10.0,4.957523692,16.65414848,67.30000305,,17137.5585,,10.43484734,13.22999954,16.3030147,70274.30047999999,,,6.7,1.3559508530000002,1.772249769,77.54,,,3.599999905,,2.4,1.6815080000000002,2.033657,1.331798,1.762061361,1.218627409,17529469.0,2.2640000000000002,,,28333.96,2249.4639620000003,17.16395,,22.0,299000000000.0,,0.121009269,11.29172,85.6824,1.378321348,294429.6667,13.0,33.0,37.0,28.0,121.0,13.0,10.0,7.0,199.0,170.0,631.0,63.1
12,Austria,Europe - Western,Europe,Europe & Central Asia,1992,[1992],42.35294118,25.43668,24.38968,2.217116821,1.505,7.782808183999999,10.0,3.240361682,34.44228054,67.09999847,,19847.22018,,8.418167576,20.23999977,35.5255295,81126.05604,,,7.2,3.479093093,0.637697351,76.04,,,,,2.4,1.3946690000000002,1.624585,1.1457979999999999,1.456110657,1.100552287,7778255.0,92.755,,94.802,9885.3,1614.068121,15.970170000000001,,21.994,156000000000.0,,-1.08729519,14.345379999999999,65.779,1.111194547,60536.666670000006,22.0,85.0,10.0,28.0,61.0,77.0,6.0,21.0,83.0,144.0,537.0,53.7
13,Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1992,[1992],53.431078,24.81781,26.64382,0.0,2.883,7.746071397000001,1.0,2.8009972910000003,86.20402066,78.90000153,,932.2568693,,,,54.5967926,6911.0859390000005,,,73.8,1065.329225,,64.245,,,,,3.881299973,50.55832,96.61368,7.152122,1.0737416770000001,1.515076998,7445925.0,85.98100000000001,,99.14,4652.3771,,2.388897,,33.8,6881920209.0,,31.60722807,14.97465,53.1318,0.9359375759999999,57676.666670000006,82.0,56.0,75.0,86.0,7.0,122.0,115.0,120.0,86.0,141.0,890.0,98.88888888888889
14,Bahamas,America - Central,Central and South America,America,1992,[1992],1.198801199,25.51294,27.367379999999997,0.9783226279999999,2.6210000000000004,6.746663355,,,50.24702477,77.5,,17736.281590000002,,,,51.21453844,38865.13862,,,17.8,3.905565916,,71.01,,,5.5,,,,,,,1.867104747,265761.0,19.15,,101.51,75.45100000000001,,,15.43261499,77.4,4713611932.0,,-0.96751367,,80.2872,2.14724248,1793.0,96.0,180.0,68.0,0.0,34.0,112.0,30.0,65.0,158.0,64.0,807.0,89.66666666666667
15,Bahrain,Asia - Western,Asia,Middle East & North Africa,1992,[1992],12.67605634,25.40173,26.513270000000002,1.8632046430000002,3.466,20.37601469,-10.0,8.319860072,84.38199373,36.79999924,,10611.09237,,,,96.74204747,38071.158339999994,,,18.7,-3.532648806,,72.794,,,,,,,,,,2.535451651,519696.0,748.841,,103.568,219.9702,3757.1139450000005,,5.39072996,22.5,5514542261.0,,-12.36005374,,88.2392,2.5916783,10589.33333,92.0,154.0,98.0,151.0,8.0,159.0,31.0,45.0,9.0,101.0,848.0,84.8
16,Bangladesh,Asia - Southern,Asia,South Asia,1992,[1992],73.35791657,20.14118,18.892139999999998,0.000226808,4.197,0.161003196,6.0,0.120235439,7.586679356,65.0,,290.4082118,,0.187750146,,12.34733257,1675.6203289999999,4.3,22.21,92.0,2.9763697660000004,,61.066,,,,,,,,,0.016538814,2.25410479,110225555.0,765.466,92.99,,10232.6644,17.23195879,,,,32010406325.0,,-4.760653216000001,,20.5638,4.10146489,17746.66667,51.0,10.0,115.0,72.0,148.0,8.0,180.0,134.0,8.0,114.0,840.0,84.0
17,Barbados,America - Central,Central and South America,America,1992,[1992],44.18604651,25.05249,27.59409,0.30482200800000003,1.7269999999999999,3.74900435,,,55.24079633,83.09999847,,7765.99957,,20.41445563,,46.23858878,24526.90663,,,14.7,-1.4715591030000001,,71.542,,,13.39999962,,,,,,,0.301062382,261136.0,607.293,,,290.835,,,,59.0,2027982064.0,,9.002207547000001,,33.8242,1.948296621,979.0,120.0,77.0,28.0,0.0,30.0,104.0,52.0,57.0,11.0,53.0,532.0,59.111111111111114
18,Belarus,Europe - Eastern,Europe,Europe & Central Asia,1992,[1992],46.29757444,25.07413,26.06175,0.0,1.722,8.494393525,7.0,3.620727682,59.28610059,92.80000305,,1255.8185460000002,,,,57.83666847,12028.81215,,,13.6,1074.1412070000001,,70.16,,,,,3.638200045,8.558017999999999,12.75942,4.5213220000000005,1.9908765169999998,0.215580668,10298479.0,49.607,,,5633.72,426.609436,18.500220000000002,20.44348296,46.256,12829442266.0,,1.449432125,20.81534,66.759,0.7999779309999999,87479.33333,67.0,69.0,26.0,61.0,25.0,127.0,91.0,76.0,117.0,153.0,812.0,90.22222222222223
19,Belgium,Europe - Western,Europe,Europe & Central Asia,1992,[1992],,25.64048,25.00061,0.6143254579999999,1.599,11.43122472,10.0,5.092946771,63.93825155,64.30000305,,19223.50264,,,20.5,61.42143911,51151.14138,,,7.6,3.424524548,0.09963580000000001,76.46,,,4.0,,3.4,1.6194389999999999,2.163797,1.061526,,0.405713496,10004469.0,327.715,,100.96600000000001,1830.77,2015.668527,11.9307,,11.73,193000000000.0,,2.51670938,15.74826,96.537,0.488617632,114363.3333,20.0,0.0,16.0,28.0,18.0,132.0,20.0,17.0,21.0,156.0,428.0,47.55555555555556
20,Belize,America - Central,Central and South America,America,1992,[1992],5.962297238,25.34573,27.274520000000003,0.0,4.363,1.762191658,,,49.72864119,33.5,,2912.125313,,0.0,,52.92899845,11561.378190000001,,,31.2,3.99349621,,70.696,,,,,,,,,,2.544666406,201832.0,8.788,,,94420.2732,,,19.93925706,107.1,579737611.1,,-3.200357264,,47.4726,2.552671504,355.6666667,146.0,169.0,118.0,0.0,36.0,115.0,93.0,69.0,181.0,35.0,962.0,137.42857142857142
21,Benin,Africa - Western,Africa,Sub-Saharan Africa,1992,[1992],20.74670042,21.30311,22.06721,0.0,6.603,0.17729194899999998,6.0,0.338327459,14.82778511,61.59999847,,301.0323793,,,,28.55168981,2382.415361,,,103.0,3.361901295,,54.423,27.24525033,39.87661252,,,0.055100000999999996,,,,,3.470789543,5108335.0,45.358000000000004,,,4734.251,16.26253119,,,140.0,1537774239.0,,-13.723904699999999,,35.3942,4.76350039,905.6666667000002,124.0,139.0,173.0,72.0,128.0,54.0,161.0,156.0,122.0,51.0,1180.0,131.11111111111111
22,Bermuda,America - North,North America,America,1992,[1992],20.0,26.530109999999997,28.970709999999997,3.2008994260000003,,6.7291635670000005,,,,,,41848.2731,,,,,94184.50149,,,,2.813883984,,,,,,,,,,,,0.0,60483.0,1141.1889999999999,,,,,,,,2552744659.0,,,,100.0,0.0,407.0,114.0,141.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,36.0,301.0,100.33333333333333
